"Trade Name (Agent)",Sponsor,"Date of BT Designation Disclosure","Approval Date",Indication,Category,"FDA Status"
Zanidatamab,"Zymeworks Inc.",11/30/2020,,"Treatment for patients with previously-treated HER2 gene-amplified biliary tract cancer (BTC).",Cancer,"Designation Granted"
Zanidatamab,"Zymeworks Inc.",11/30/2020,,"Treatment for patients with previously-treated HER2 gene-amplified biliary tract cancer (BTC).",Cancer,"Designation Granted"
Sotorasib,"Amgen Inc.",12/08/2020,,"Treatment of patients with locally advanced or metastatic non-small cell lung cancer (NSCLC) with KRAS G12C mutation, as determined by an FDA-approved test, following at least one prior systemic therapy.",Cancer,"Designation Granted"
Repotrectinib,"Turning Point Therapeutics Inc.",12/08/2020,,"""Treatment of patients with ROS1-positive metastatic non-small cell lung cancer (NSCLC) who have not been treated with a ROS1 tyrosine kinase inhibitor (TKI-naïve).  """,Cancer,"Designation Granted"
Olorofim," F2G Ltd",10/22/2020,,"Treatment of Central Nervous System (CNS) coccidioidomycosis refractory or otherwise unable to be treated with standard of care therapy","Infectious Disease","Designation Granted"
Vixarelimab,"Kiniksa Pharmaceuticals Ltd",11/16/2020,,"Treatment of pruritus associated with prurigo nodularis, a chronic inflammatory skin condition characterized by severely pruritic skin nodules",Other,"Designation Granted"
"Inmazeb (atoltivimab, maftivimab, and odesivimab-ebgn)","Regeneron Pharmaceuticals",11/19/2019,10/14/2020,"Treatment for Zaire ebolavirus (Ebola virus) infection in adult and pediatric patients","Infectious Disease","FDA Approval"
"EBANGA ANSUVIMAB-ZYKL","Ridgeback Biotherapeutics LP",9/06/2019,12/21/2020,"Treatment for Ebola","Infectious Disease","FDA Approval"
Lanifibranor,Inventiva,10/12/2020,,"Treatment of non-alcoholic steatohepatitis (NASH), mucopolysaccharidoses (MPS)",Other,"Designation Granted"
IMGN632,"ImmunoGen, Inc",10/05/2020,,"Treatment of relapsed or refractory blastic plasmacytoid dendritic cell neoplasm",Cancer,"Designation Granted"
"Farxiga® (dapagliflozin)",AstraZeneca ,10/02/2020,4/30/2021,"Patients with chronic kidney disease (CKD), with and without type 2 diabetes (T2D)",Other,"FDA Approval"
MPDL3280A,Genentech/Roche,2/01/2015,,"Non-small cell lung cancer",Cancer,"Designation Granted"
"Rindopepimut (Rintega)",Celldex,2/23/2015,,"Glioblastoma (GBM)",Cancer,"Designation Granted"
EBV-CTL,"Atara and MSKCC",3/02/2015,,"EBV-associated lymphoproliferative disease",Cancer,"Designation Granted"
Rucaparib,Clovis,4/06/2015,,"Ovarian cancer",Cancer,"Designation Granted"
"Viaskin Peanut",DBV,4/09/2015,,"Peanut allergy in children",Other,"Designation Granted"
"Olipudase alfa",Sanofi/Genzyme,6/04/2015,,"Niemann-Pick disease Type B","Rare Inherited Disorders","Designation Granted"
"Obeticholic acid (OCA)",Intercept,1/29/2015,,"Nonalcoholic steatohepatitis (NASH)",Other,"Designation Granted"
Ixazomib,Takeda,12/02/2014,,"Systemic light-chain (AL) amyloidosis",Other,"Designation Granted"
JCAR015,"Juno Therapeutics",11/24/2014,,ALL,Cancer,"Designation Granted"
SPK-RPE65,"Spark Therapeutics",11/06/2014,,"Inherited retinal dystrophy (IRD)","Rare Inherited Disorders","Designation Granted"
AP26113,"Ariad Pharmaceuticals Inc.",10/02/2014,,"ALK-positive NSCLC",Cancer,"Designation Granted"
"CRS-207 and GVAX",Aduro,7/21/2014,,"Pancreatic cancer",Cancer,"Designation Granted"
"Rociletinib (CO-1686)","Clovis Oncology",5/19/2014,,NSCLC,Cancer,"Designation Granted"
MYDICAR,Celladon ,4/10/2014,,"Heart failure",Cardiovascular,"Designation Granted"
"ACTEMRA (tocilizumab)",Genentech/Roche,6/10/2015,3/04/2021,"Systemic scerlosis",Other,"FDA Approval"
SER-109,Seres,6/12/2015,,"Clostridium difficile infection (CDI)","Infectious Disease","Designation Granted"
NI-0501,Novimmune,3/16/2016,,"Primary Hemophagocytic Lymphohistiocytosis (HLH)","Rare Inherited Disorders","Designation Granted"
"PKC412 (midostaurin)",Novartis,2/19/2016,,"Newly-diagnosed FLT3-mutated AML",Cancer,"Designation Granted"
"Durvalumab (MEDI4736)",AstraZeneca,2/17/2016,,"PD-L1+ inoperable/metastatic urothelial bladder cancer",Cancer,"Designation Granted"
"Affinity enhanced T-cell therapy",Adaptimmune,2/09/2016,,"NY-ESO in synovial sarcoma",Cancer,"Designation Granted"
"Rapastinel (GLYX-13)",Allergan,1/31/2016,,"Major Depressive Disorder (MDD)",Other,"Designation Granted"
Venetoclax,AbbVie/Roche,1/28/2016,,"AML combination therapy",Cancer,"Designation Granted"
"Lynparza (olaparib)",AstraZeneca,1/27/2016,,"Metastatic Castration Resistant Prostate Cancer",Cancer,"Designation Granted"
"VTS 270",Vtesse,1/06/2016,,"Niemann-Pick Type C1 Disease (NPC)","Rare Inherited Disorders","Designation Granted"
DX-2930 ,Dyax,7/07/2015,,"Hereditary angioedema (HAE)","Rare Inherited Disorders","Designation Granted"
BMS-663068,BMS,7/21/2015,,"HIV-1 in heavily treatment-experienced adult patients","Infectious Disease","Designation Granted"
RBX2660,"Rebiotix, Inc.",10/12/2015,,"Recurrent Clostridium difficile (C diff) infection","Infectious Disease","Designation Granted"
"Inotuzumab Ozogamicin",Pfizer,10/19/2015,,ALL,Cancer,"Designation Granted"
"Pembrolizumab (Keytruda)",Merck,11/02/2015,,"Microsatellite Instability-High (MSI-H) metastatic colorectal cancer (mCRC)",Cancer,"Designation Granted"
"BI 1482694","Boehringer Ingelheim",12/18/2015,,"Advanced/pre-treated EGFR mutation-positive NSCLC",Cancer,"Designation Granted"
OMS721,Omeros,6/13/2017,,"Immunoglobulin A (IgA) nephropathy",Other,"Designation Granted"
Burtomab,"Y-mAbs Therapeutics, Inc.",6/07/2017,,"Pediatric patients with relapsed or refractory neuroblastoma with central nervous system or leptomeningeal metastasis",Cancer,"Designation Granted"
Balovaptan,Roche,1/29/2018,,"Autism spectrum disorder (ASD)","Rare Inherited Disorders","Designation Granted"
GMI-1271,GlycoMimetics,5/17/2017,,"Adult Relapsed/Refractory Acute Myeloid Leukemia",Cancer,"Designation Granted"
Vonapanitase,"Proteon Therapeutics, Inc.",5/10/2017,,"Increasing arteriovenous fistula secondary patency (i.e., survival of the fistula without abandonment) and use for hemodialysis in patients on or expected to initiate hemodialysis",Other,"Designation Granted"
"Rethymic (RVT-802)",Enzyvant,4/14/2017,10/8/2021,"Treatment of pediatric patients with congenital athymia.","Rare Inherited Disorders","FDA Approval"
"Evkeeza (evinacumab-dgnb)","Regeneron Pharmaceuticals, Inc",4/07/2017,2/11/2021,"Homozygous familial hypercholesterolemia (HOFH)","Rare Inherited Disorders","FDA Approval"
"Toca 511 & Toca FC",Tocagen,2/23/2017,,"Recurrent high grade glioma",Cancer,"Designation Granted"
AMT-060,uniQure,1/20/2017,,"Hemophilia B","Rare Inherited Disorders","Designation Granted"
"Neridronic acid","Grünenthal and Abiogen Pharma",12/16/2016,,"Complex regional pain syndrome (CRPS)","Rare Inherited Disorders","Designation Granted"
ABT-530,"AbbVie Inc.",9/30/2016,,"genotype 1 HCV patients who have failed to respond to a previous therapy of direct acting antivirals (or DAAs)","Infectious Disease","Designation Granted"
"Tonmya (TNX-102 SL)","Tonix Pharmaceuticals",12/19/2016,,PTSD,Other,"Designation Granted"
"Imcivree (setmelanotide)","Rhythm Pharmaceutical, Inc.",1/7/2016,11/27/2020,"Pro-opiomelanocortin (POMC) deficiency obesity and obesity associated with genetic defects upstream of the MC4 receptor in the leptin-melanocortin pathway (the MC4 pathway)","Rare Inherited Disorders","FDA Approval"
"Livtencity (Maribavir)","Takeda Pharmaceutical Company Ltd.",1/08/2018,11/23/2021,"Treatment of adults and pediatric patients 12 years of age and older and weighing at least 35 kg with posttransplant cytomegalovirus (CMV) infection/disease that is refractory to treatment (with or without genotypic resistance) with ganciclovir, valganciclovir, cidofovir or foscarnet.","Infectious Disease","FDA Approval"
"Upadacitinib (ABT-494)","AbbVie Inc.",1/09/2018,,"Adult patients with moderate to severe atopic dermatitis who are candidates for systemic therapy",Other,"Designation Granted"
"Lenvima (lenvatinib)","Merck and Eisai",1/09/2018,8/10/2021,"In combination with pembrolizumab for the first-line treatment of adult patients with advanced renal cell carcinoma (RCC).",Cancer,"FDA Approval"
"Avelumab in combination with Inlyta (axitinib)","EMD Serono and Pfizer",12/21/2017,,"Treatment-naïve patients with advanced renal cell carcinoma (RCC)",Cancer,"Designation Granted"
Monjuvi,MorpoSys,10/23/2017,7/31/2020,"Relapsed/Refractory DLBCL who are not eligible for high-dose chemotherapy and autologous stem-cell transplantation",Cancer,"FDA Approval"
"Valoctocogene Roxaparvovec",BioMarin,10/26/2017,,"Hemophilia A","Rare Inherited Disorders","Designation Granted"
DAS181,"Ansun BioPharma",10/10/2017,,"Treatment of lower respiratory tract parainfluenza virus (PIV) infection in immunocompromised patients","Infectious Disease","Designation Granted"
EB-101,"Abeona Therapeutics Inc",8/30/2017,,"Recessive Dystrophic Epidermolysis Bullosa (RDEB)",Other,"Designation Granted"
"Methylenedioxymethamphetamine (MDMA)",MAPS,8/28/2017,,PTSD,Other,"Designation Granted"
Venetoclax,Abbvie/Roche,8/01/2017,,"Elderly patients with previously untreated Acute Myeloid Leukemia (AML) who are ineligible for intensive chemotherapy",Cancer,"Designation Granted"
Acalabrutinib,AstraZeneca,8/01/2017,,"Mantle cell lymphoma for patients who have received at least one prior line of therapy",Cancer,"Designation Granted"
"Elbit Imaging","Gamida Cell",10/10/2016,,Nicord,Cancer,"Designation Granted"
"Alecensa (alectinib)",Roche,10/04/2016,,"Adult patients with advanced ALK-positive non-small cell lung cancer (NSCLC) who have not received prior treatment with an ALK inhibitor",Cancer,"Designation Granted"
Serelaxin ,Novartis,6/21/2013,,"Acute heart failure",Cardiovascular,"Designation Granted"
Drisapersen,GlaxoSmithKline/Prosensa,6/27/2013,,"Duchenne muscular dystrophy (DMD)","Rare Inherited Disorders","Designation Granted"
"BYM338 (Bimagrumab)",Novartis,8/20/2013,,"Sporadic inclusion body myositis (sIBM)",Other,"Designation Granted"
Entinostat,Syndax,9/11/2013,,"ER-positive metastatic breast cancer combination",Cancer,"Designation Granted"
Volasertib,"Boehringer Ingelheim",9/17/2013,,"AML combination therapy",Cancer,"Designation Granted"
Grazoprevir/Elbasvir,Merck,10/22/2013,,"Hepatitis C","Infectious Disease","Designation Rescinded"
"cPMP (ALXN1011)","Alexion Pharmaceuticals Inc.",10/24/2013,,"Molybdenum cofactor deficiency (MoCD) type A","Rare Inherited Disorders","Designation Granted"
Dabrafenib,GlaxoSmithKline,1/13/2014,,"NSCLC w/ BRAF mutation",Cancer,"Designation Granted"
Esketamine,J&J,1/21/2014,,"Treatment resistant depression",Other,"Designation Granted"
"Daclatasvir/asunaprevir combination",BMS,2/24/2014,,"Hepatitis C","Infectious Disease","Designation Rescinded"
"LIVMARLI (maralixibat)",Shire,6/13/2016,9/29/2021,"Progressive familial intrahepatic cholestasis type 2 (PFIC2)","Rare Inherited Disorders","FDA Approval"
